,col_name,feature_importance_vals
2110,Aerobar style OHCLASS: 0,0.4100655292025535
2231,Pedal style OHCLASS: 1,0.40617632084512295
303,REARCALPRW,0.4028876962604943
1362,FRONTdiscB type OHCLASS: Generic 160mm I.S.,0.39365400542539036
5,STEMBENDS,0.39039516651003875
1258,Rack type OHCLASS: Sample rear rack,0.38819560228646627
2032,GEARBOXtype OHCLASS: BOSCH_STEEL_NODE_V23A,0.382355622450244
2285,CORNERstyle OHCLASS: 1,0.37968984408329254
1353,MATERIAL OHCLASS: ALUMINIUM,0.3756921137053986
2336,Down tube type OHCLASS: 1,0.37136836777008786
2035,GEARBOXtype OHCLASS: PINIONP118,0.3686070597950013
1275,Dropout model OHCLASS: Generic track dropout,0.36629097826541757
2381,TRACK_ERGO OHCLASS: 0,0.3659077561712809
2157,Pedals type OHCLASS: SPDlike,0.36511660395856027
2250,"Wheel choice front OHCLASS: 29"" X 2.2""",0.36490298320043313
1314,Head tube type OHCLASS: 1,0.36359943999971606
437,Front Fender include,0.3632866288609887
141,nCSSIDECY3,0.361145503622506
1486,"SIZE OHCLASS: 26""",0.3600957222053815
117,SEATSTAYholeCheck,0.35968323595777624
2139,EYELETS OHCLASS: 0,0.3574379360665711
1331,FRONTbrake type OHCLASS: Generic V-Brake,0.35690155746514973
462,nCSSIDEC_s3,0.3567617074383936
2325,Fork choice OHCLASS: Suspension Fork 100mm Travel,0.35667883481160484
2111,Aerobar style OHCLASS: 1,0.3547226658560602
2343,Saddle type OHCLASS: BMX,0.3546926456436793
371,TOPTUBE1SnSCheck,0.35342559940559765
2140,EYELETS OHCLASS: 1,0.3528120082144908
2340,Handlebar style OHCLASS: 2,0.35238966516374637
2144,Brake lever brand OHCLASS: CAMPAGNOLO,0.347367928842982
2289,Seat tube type OHCLASS: 2,0.3467252050726434
2109,Pedals style OHCLASS: 1,0.33647359297622476
2093,Cranks type OHCLASS: 172.5 44/32/22,0.3333756643253548
311,Display SEATPOST_CLAMP,0.33025323702968723
1222,Headset type OHCLASS: Cane Creek (External Cup),0.32970696535673216
643,nCSAUXC_s1,0.32957938120333397
950,Display RACK,0.3240261432496713
2154,Pedals type OHCLASS: Generic platform,0.32310417646341344
1273,Dropout model OHCLASS: Generic socket style,0.3196995097416454
1227,"Headset type OHCLASS: Chris King 1""",0.31891789923697433
301,REARCALPRY,0.31742586547802915
906,USEFRNTDER,0.31651356106340417
236,TOPTUBECXr3,0.3157299204446963
1099,TIRE_aux,0.3156305565957814
2337,Down tube type OHCLASS: 2,0.3148091798721044
10,REARDiscAdaptOnPost,0.3139477572044955
1124,Saddle height,0.3091037249956838
1220,REARbrake kind OHCLASS: 0,0.3083688136012271
2010,SPROCKETS type OHCLASS: 9-speed 12-23,0.308195353595516
2230,Pedal style OHCLASS: 0,0.3071279795406693
66,REARROTOR_INCLUDE,0.3067533059900722
667,Dropout R,0.30610495534893617
1168,nCSSIDEC_ang2,0.30602169534072604
1184,DUAL_CROWN,0.30252279243873026
1302,BATTERYmount OHCLASS: DOWNTUBE,0.3021579588847073
1205,bottle DOWNTUBE0 CAGE,0.29677949309080504
548,PRODUCTION,0.29154451260748404
1296,HEADTUBEtype OHCLASS: Paragon for 44mm cups,0.2889039803270312
2287,Seat tube type OHCLASS: 0,0.28741042959650354
459,nCSSIDEC_s1,0.280844768378637
2020,SEATTUBEBENDS OHCLASS: 1,0.27921557438765626
1364,FRONTdiscB type OHCLASS: Generic Front Flat Mount,0.2770900381071985
2147,Brake lever brand OHCLASS: SHIMANO_2012,0.2748019526494774
463,nCSSIDEC_s2,0.2744435296067067
2394,bottle DOWNTUBE0 show OHCLASS: True,0.2739522013940445
644,nCSAUXC_s2,0.2727980558304594
2345,Saddle type OHCLASS: Default,0.2722604125505858
2108,Pedals style OHCLASS: 0,0.2721804132807886
2382,TRACK_ERGO OHCLASS: 1,0.27210387464128527
2288,Seat tube type OHCLASS: 1,0.27201409261159504
2290,FRONTbrake kind OHCLASS: 0,0.271036544681797
20,Dropout joint 10,0.27075754150287495
2295,DROPOUT STYLE OHCLASS: PLATE_STYLE_DROPOUT,0.26993596992169816
1169,nCSSIDEC_ang1,0.26952003567157307
1336,Stem type OHCLASS: 100mm -5 degree,0.26814824001347776
2319,Fork choice OHCLASS: Generic Straight Blade 45mm,0.2657635034443108
1097,STEPSW1,0.26528542792887505
2284,CORNERstyle OHCLASS: 0,0.263900825055802
189,Seat stay junction3,0.263031882769085
2120,Stem kind OHCLASS: 0,0.2628929904940421
675,Dropout G,0.2621917041923432
1970,Dropout spacing style OHCLASS: 0,0.26198053350689116
1214,HBAR type OHCLASS: Generic track,0.2579956029886896
677,nCSAUXC_ang3,0.25734104152456355
135,FRONTCALPRW,0.25627108221515144
678,nCSAUXC_ang2,0.25567510141216293
2161,Pedals type OHCLASS: XTR SPD,0.25456018472369357
889,nSeat stay junction3,0.25363136117367163
1923,StaticDropout OHCLASS: ADG_400,0.2515704096417743
2083,spc type OHCLASS: 0,0.2515541365080113
595,nSSSIDECY3,0.2510065844815231
642,SELECTEDRING,0.2507583927932625
2146,Brake lever brand OHCLASS: SHIMANO,0.2469490315236823
47,DOWNTUBE1SnSCheck,0.24523658203812043
1303,BATTERYmount OHCLASS: NONE,0.24192160290110873
1075,Dim F CheckBox,0.2409236948474747
2153,Pedals type OHCLASS: Generic Road Clipless,0.2360115504121915
894,SPIDER_ARM_PHASE_SHIFT,0.23572877078635615
751,DOWNTUBEFILLET1,0.23456373297846772
940,FRONTROTORGP,0.23426422807086805
1337,Stem type OHCLASS: 100mm 5 degree,0.23160814756391312
1356,MATERIAL OHCLASS: OTHER,0.23144104133537857
2019,SEATTUBEBENDS OHCLASS: 0,0.23109277793285998
2216,REARbrake type OHCLASS: Generic caliper,0.23082020791946184
1147,Handlebar Y textfield,0.23035493376353156
1040,Teeth on chainring 0,0.23003261908409042
450,Seatpost LENGTH,0.22998561700486808
2081,REARdiscB type OHCLASS: Generic 180mm I.S.,0.22907173555352286
444,SSSIDEBENDS,0.22844174687034655
537,FORK0B,0.22792564499683432
1274,Dropout model OHCLASS: Generic tab style,0.22702177546188032
2262,Wheel choice front OHCLASS: 700 X 32c,0.2246032651126499
610,SSAUXBENDS,0.2241854853519122
344,CHAINSTAYbrdgCheck,0.22305314346654234
580,Pedal thickness,0.22177598937926915
1059,CORNERDOWNTUBE1,0.21635614985833698
1212,HBAR type OHCLASS: Generic bullhorn,0.21483766543456834
1605,SIZE OHCLASS: 54,0.2140681721011176
762,SHOW_OR_HIDE_UNITS,0.21314278199834033
561,Dropout joint 9,0.21254788723119467
1231,"Headset type OHCLASS: Chris King 1-1/8""",0.21234635430033066
1146,Saddle thickness,0.2118375852803248
2094,Cranks type OHCLASS: 172.5 50/36,0.21152902169617852
543,FORK0L,0.20815510880524496
472,Pannier include,0.20778759814017236
838,Display CHAINGUARD,0.2073575069961244
1020,nSSSIDEBENDS,0.20619954791180525
1979,SPROCKETS type OHCLASS: 1-speed 16T,0.20225525244203166
750,DOWNTUBEFILLET0,0.20205508693625668
1315,Head tube type OHCLASS: 2,0.20134089457243964
2182,"Wheel choice rear OHCLASS: 29"" X 2.2""",0.19706503845286658
641,nCSAUXC_s3,0.19595383225438415
2165,Hand position OHCLASS: 3,0.19495486372870086
1221,REARbrake kind OHCLASS: 1,0.19270857025880692
609,Head tube diameter,0.19005884488519206
997,FRONTROTOREP,0.18973104308591354
676,nCSAUXC_ang1,0.18903418571468236
2386,Top tube type OHCLASS: 1,0.18878216315990862
1064,nSSAUXCrad3,0.18864419787968295
302,REARCALPRX,0.18813635223057326
2392,bottle SEATTUBE0 show OHCLASS: True,0.18588818524204925
1027,Display AEROBARS,0.18454688801224248
921,Dim D CheckBox,0.18389526522294827
2195,Wheel choice rear OHCLASS: 700 X 35c,0.1827492757845002
2291,FRONTbrake kind OHCLASS: 1,0.18190406797873962
1223,Headset type OHCLASS: Cane Creek (Integrated),0.18090384895022094
299,BEND_POSITION,0.17914444313234892
421,SELECTEDCOG,0.17882001488021979
2365,Saddle type OHCLASS: Sleek road,0.17779871597335076
2085,spc type OHCLASS: 2,0.1773268808058122
154,CRANK_SPIDER,0.17665102088714116
846,Dim E CheckBox,0.17658570584062222
391,Dim B CheckBox,0.17614109981140114
2089,Cranks type OHCLASS: 170 Campy Record,0.1755613777351767
2164,Hand position OHCLASS: 2,0.17408831488753165
1367,CLAMPSTYLE OHCLASS: 2,0.17381325658234426
2320,Fork choice OHCLASS: Generic Straight Blade 50mm,0.17264090308531121
705,BULLRADIUS2,0.17253593522356694
173,nSSSIDEC_s1,0.17237521691136695
2117,MOUNT_TYPE OHCLASS: BRAZEON,0.17181969786724044
1167,nCSSIDEC_ang3,0.17173259940318536
2018,PhBlock typeDOWNTUBE OHCLASS: 48mm Sputnik,0.17106177672754508
121,STEPSL1,0.17097794589022666
326,nSSSIDEISBENT,0.16954637850116758
701,SEATTUBECX3,0.16936602190022315
241,Shoe size,0.16838441681925834
16,Seatpost AERO,0.166467892569006
947,STEMISBENT,0.16626132398750354
692,HEADTUBEFILLET0,0.1659584565809816
2118,MOUNT_TYPE OHCLASS: CLAMP,0.1657609543268653
734,Fender strut 2,0.16549997350875648
1086,TOPTUBECY1,0.16539688383243814
369,SPOKES front,0.1643171553946123
2098,Cranks type OHCLASS: 175 SRAM RED,0.1636255826492733
159,INCLUDE_STRUT3,0.16130559089625646
1448,"SIZE OHCLASS: 20""",0.16020878547018305
1211,HBAR type OHCLASS: Generic BMX,0.15944782027771018
933,LINKfork2SCHEME,0.15932161168047215
758,nSSAUXC_s1,0.15885149391100278
316,REARROTORFP,0.1587330125356694
1997,SPROCKETS type OHCLASS: 11-speed 11-30,0.1586524398217611
1096,STEPSW2,0.15815873511082137
96,nSeat stay Curv Check,0.15633899715504185
700,SEATTUBECX2,0.15594616043181328
2084,spc type OHCLASS: 1,0.15592994126788673
1123,HBAREXTEND,0.1556328692893387
190,Saddle I,0.15476251756201592
164,nSSSIDEC_s3,0.15311350541458035
872,SPOKES rear,0.15279770782360022
1078,SEATTUBEISBENT,0.1527621394861374
1033,nCSSIDEBENDS,0.15227393238019596
136,FRONTCALPRX,0.15161997991511283
1358,MATERIAL OHCLASS: TITANIUM,0.15144746323537392
2082,REARdiscB type OHCLASS: Generic Rear Flat Mount,0.15092679475675358
2034,GEARBOXtype OHCLASS: BafangMMG330250,0.15066544755244207
2009,SPROCKETS type OHCLASS: 9-speed 11-32,0.15047738927654372
110,Crank width at BB,0.15009775742115836
448,TOPTUBEFILLET2,0.1486653850615212
2361,Saddle type OHCLASS: Selle Italia SLR,0.14791950148135471
1295,HEADTUBEtype OHCLASS: Paragon 190mm tapered,0.14704457388494702
1298,SSAUX1_MM_RATIO OHCLASS: 1,0.14692636751698965
769,CSAUXISBENT,0.14659432132827432
349,SPIDER_DIAMETER,0.1459594335171941
1946,StaticDropout OHCLASS: DS0001,0.14550573448801876
2282,HEADSETprofile OHCLASS: 3,0.14490242999997388
2316,Fork choice OHCLASS: Generic Curved Blade 45mm,0.14466860592914527
2306,Fit scheme OHCLASS: Cyclocross,0.14445948341211343
1248,"Headset type OHCLASS: Chris King NoThreadSet 1-1/8""",0.14437642939996612
1365,CLAMPSTYLE OHCLASS: 0,0.14437300970405137
898,DOWNTUBEISBENT,0.14411629729020398
2148,Brake lever brand OHCLASS: SRAM,0.144084705646678
1505,SIZE OHCLASS: 34,0.14376996074142312
1366,CLAMPSTYLE OHCLASS: 1,0.14369420718691756
1575,SIZE OHCLASS: 52,0.14300847919971893
238,DOWNTUBEBENDS,0.14266660841170462
760,nSSAUXC_s3,0.14244484415015324
446,TOPTUBEFILLET0,0.14212997917959364
855,DOTSonEXTlines,0.14177706965250816
2317,Fork choice OHCLASS: Generic Curved Blade 50mm,0.14051268299060693
663,DERAILLEURL,0.14030391352156207
1207,HBAR type OHCLASS: Bonrager on Domane,0.14019319111274414
1988,SPROCKETS type OHCLASS: 10-speed 11-34,0.13946894472610807
1355,MATERIAL OHCLASS: CARBON,0.1393756458072214
122,STEPSL2,0.1391862300450036
533,FORK0W,0.1391654814982971
2242,"Wheel choice front OHCLASS: 26 X 2.125/2.2""",0.13895679520875578
1363,FRONTdiscB type OHCLASS: Generic 160mm Post,0.13889341170180516
2263,Wheel choice front OHCLASS: 700 X 35c,0.13851708066718021
2175,"Wheel choice rear OHCLASS: 26 X 2.125/2.2""",0.1376245427671546
233,nSSSIDEC_ang3,0.13708411535022882
318,Seat stay Curv Check,0.1369171615600324
957,CSAUXBENDS,0.13671625107711916
1082,Fork travel,0.13503166522279927
540,FORK0F,0.13331984583913478
2391,bottle SEATTUBE0 show OHCLASS: False,0.13270106403694218
426,Mountain bar rise,0.13236096114024395
1190,REARROTORANGLE_ONEP,0.13220323841010045
192,Saddle J,0.13159444499390488
1975,RIM_STYLE front OHCLASS: SPOKED,0.13155912580065
2318,Fork choice OHCLASS: Generic Cyclocross,0.13107375622578799
1114,Head tube C,0.13099074455887316
2096,Cranks type OHCLASS: 172.5 53/39,0.13014250261686844
2126,nSSAUX1_MM_RATIO OHCLASS: 1,0.12954019481789283
2099,Cranks type OHCLASS: 175 SRAM XX,0.12857705974046668
1674,SIZE OHCLASS: 58,0.12806643236114926
2159,Pedals type OHCLASS: Speedplay,0.12787419225857566
2385,Top tube type OHCLASS: 0,0.12770648279313987
768,SUSPENSION,0.12741881433906202
1297,SSAUX1_MM_RATIO OHCLASS: 0,0.12687649874521165
2283,HEADSETprofile OHCLASS: 4,0.1264113697889626
711,Teeth on cog 0,0.12626314783519882
1137,Head tube length textfield,0.12624186675148594
213,SSAUXISBENT,0.12623798853269133
756,nCSAUXISBENT,0.1259526469109122
736,Fender strut 1,0.12591675223156668
306,nCSAUXBENDS,0.1258981397999958
1068,SPOKE_PHASE_SHIFT front,0.1258339590568071
578,FRONTbrakeBW,0.12562397050716967
2326,Fork choice OHCLASS: Suspension Fork 150mm Travel,0.12524689167864905
522,FORK1E,0.123614444911837
438,Stembodyfdiameter,0.12293752783220947
1087,nCSAUXCXr3,0.12273143749002133
246,REARROTOREP,0.1226966931109232
193,Seat stay junction1,0.12225664141737208
534,FORK0A,0.1222166871165989
1026,Seat stay wishbone,0.12188420612634422
742,GEARBOXangle,0.12178221341242824
1107,SEATTUBECXr1,0.12057926750272889
499,Crouch,0.12016701041840536
731,TOPTUBEISBENT,0.12008674281502835
1319,Seatpost type OHCLASS: 27.2 X 300mm generic post,0.11980759500565649
227,STEMVARI,0.11850520160978943
460,Stem body diameter,0.11836380581167492
2194,Wheel choice rear OHCLASS: 700 X 32c,0.11835762617034853
220,SADDLETIPtoMIDDLE,0.11820322676180642
684,SSSIDEISBENT,0.11809742079670649
719,FRONTROTORANGLE_ONEP,0.11779417610367839
54,nSSAUXC_ang1,0.11777403043824868
1316,Head tube type OHCLASS: 3,0.1176814056253035
1636,SIZE OHCLASS: 56,0.11663768187315199
2133,nCSAUX1_MM_RATIO OHCLASS: 1,0.1161182675476761
782,Pedal width,0.11604959101036326
1265,Seat stay mount location OHCLASS: 2,0.11581455500002782
222,CHAINSTAYholeCheck,0.11528570391734859
2125,nSSAUX1_MM_RATIO OHCLASS: 0,0.11493437857251278
2260,Wheel choice front OHCLASS: 700 X 25c,0.11471152810007573
582,LowRider include,0.11459671275735525
2115,BarEndShiftType OHCLASS: 0,0.1145392075764739
232,nSSSIDEC_ang1,0.11437965344066384
2309,Fit scheme OHCLASS: Time trial,0.11420988183786913
716,Teeth on cog 9,0.11331710186516786
347,nSSAUXBENDS,0.11301235156638831
943,FadeP2Y,0.1127177385242271
283,nSSAUXISBENT,0.11263550483754856
163,nSSSIDEC_s2,0.11145892798908699
587,nSSSIDECX3,0.11096970972019085
2023,nSeat stay mount location OHCLASS: 0,0.11089768500982415
653,STEMCX3,0.11049943138757697
2294,DROPOUT STYLE OHCLASS: HOODED_DROPOUT,0.10961307344797322
2173,"Wheel choice rear OHCLASS: 26 X 1.5""",0.10881903123384061
2122,Stem kind OHCLASS: 2,0.10796663919894667
231,nSSSIDEC_ang2,0.10780750654980538
1014,DOWNTUBECX1,0.10733162712808962
1324,Seatpost type OHCLASS: Rockshox Reverb Stealth 30.9mm 440mm X 150mm Travel,0.10689296452197034
2234,"Wheel choice front OHCLASS: 20 X 1.75"" Mag",0.10507557079584999
1073,LOWERLEGLENGTH,0.10473451962847746
2100,Cranks type OHCLASS: 175 Shimano Road,0.10463537823174075
2192,Wheel choice rear OHCLASS: 700 X 25c,0.10450902783321506
60,Lower stack height,0.10411380457427993
332,Crank down angle,0.10347061363146312
2156,Pedals type OHCLASS: Look Keo Blade,0.10320251488829635
2335,Down tube type OHCLASS: 0,0.10319785787217842
1263,Seat stay mount location OHCLASS: 0,0.10279622216631805
866,Brake lever position,0.10264782384346692
56,nSSAUXC_ang3,0.1023715069686756
2134,RIM_STYLE rear OHCLASS: DISC,0.10195505043648273
1069,CHAINSTAYASYMMETRIC,0.1018311537769745
2138,Rack style OHCLASS: 1,0.10145018145697703
579,SEATRAILSHIFT,0.10111545855317852
986,CSAUXCXr3,0.09975615593925506
447,TOPTUBEFILLET1,0.09928206889532298
2359,Saddle type OHCLASS: Selle Italia SL,0.09924053562972672
1980,SPROCKETS type OHCLASS: 1-speed 17T,0.09914999358729751
811,CHAINSTAYSFILLET0,0.09904551539237705
2116,BarEndShiftType OHCLASS: 1,0.09865887557514948
1781,SIZE OHCLASS: M,0.09826172493000986
572,CSSIDEBENDS,0.09805266148071243
871,CHAINSTAYbrdgshift,0.09768419927271035
2021,DropoutParamOrStatic OHCLASS: 0,0.09663402576333006
2328,Fork choice OHCLASS: TT Fork,0.09648739885690685
1234,"Headset type OHCLASS: Chris King 2nut 1""",0.09601246842091093
1256,Rack type OHCLASS: Racktime,0.09596278690246876
198,Saddle E,0.09580323611950801
390,CSSIDECX3,0.09567508964925019
1216,Rollout units OHCLASS: 0,0.09554779604305579
2090,Cranks type OHCLASS: 170 SRAM RED,0.09532689995107975
727,CLAMPID,0.09514487284355169
2132,nCSAUX1_MM_RATIO OHCLASS: 0,0.09497843515027776
1993,SPROCKETS type OHCLASS: 10-speed 12-32,0.09472426391257897
2086,spc type OHCLASS: 3,0.09468784866915887
2204,Wheel choice rear OHCLASS: Mavic Ksyrium R,0.09444653186243945
55,nSSAUXC_ang2,0.09438396701222293
2280,HEADSETprofile OHCLASS: 1,0.09403542345824685
1202,bottle SEATTUBE0 CAGE,0.09400574443899744
2137,Rack style OHCLASS: 0,0.09351378413690689
702,SEATTUBECX1,0.09343183254802179
901,FCD textfield,0.09341920548639218
2298,Pumporient OHCLASS: 2,0.09333488087981913
2135,RIM_STYLE rear OHCLASS: SPOKED,0.09329273552627756
457,CORNERTOPTUBE2,0.0932830185488481
2114,SHIFTERtype OHCLASS: 2,0.09324414253126154
1354,MATERIAL OHCLASS: BAMBOO,0.09316693168371724
2377,Saddle type OHCLASS: fi'zi:k Arione,0.09312716698247611
753,DOWNTUBEFILLET3,0.09223211696136586
2174,"Wheel choice rear OHCLASS: 26 X 1.9/1.95""",0.09184211716428752
187,Seat stay junction2,0.091824550496821
1582,SIZE OHCLASS: 52/56,0.09125886072233708
2240,"Wheel choice front OHCLASS: 26 X 1.5""",0.09089671141280344
188,Saddle K,0.09058418727213863
2241,"Wheel choice front OHCLASS: 26 X 1.9/1.95""",0.09020160917813799
169,FRONTROTORF,0.08989061691064107
1621,SIZE OHCLASS: 55,0.0898200519313053
1976,RIM_STYLE front OHCLASS: TRISPOKE,0.08981806082375066
1593,SIZE OHCLASS: 53,0.08974916330653963
647,TOTAL_AVAILABLE_SPACERS,0.08941036191321207
201,Saddle D,0.08875494812279629
936,FadeP1Y,0.08848691687727593
883,Cleat X,0.08847535185024336
465,Wheel diameter front,0.08840637933318955
990,SSAUXCrad3,0.08722608538078991
1989,SPROCKETS type OHCLASS: 10-speed 12-23,0.0871044374023316
1103,Female,0.08682343446730949
848,Wheel diameter rear,0.08656885297146837
1070,Head angle,0.08641660270851165
528,FORK1H,0.08635696525621159
1041,Teeth on chainring 1,0.08629802651591617
2087,FRONTRack style OHCLASS: 0,0.0862938765126311
1937,StaticDropout OHCLASS: DR0034,0.08604798835167761
531,FORK0T,0.08561756981071288
181,Rack include,0.0854746353555006
370,THICKNESSofPELVIS,0.08537236191214895
891,nCSSIDEISBENT,0.08448916066477044
757,nSSAUXC_s2,0.08383658389002936
1209,HBAR type OHCLASS: Deda RHM2,0.08343938932717924
843,DOTS_INSTEAD_OF_ARROWS,0.08337965186662802
1081,STEMCrad1,0.08330926685655389
659,nSeat stay bottom diameter,0.08329010161243267
1769,SIZE OHCLASS: L,0.08326680679428426
1044,DOWNTUBECXr3,0.08307774985155933
2228,CSAUX1_MM_RATIO OHCLASS: 0,0.08255900265393337
1224,Headset type OHCLASS: Cane Creek (ZeroStack Short),0.08232944762501612
127,Rack angle,0.08226255341195499
710,Teeth on cog 5,0.08217156981947245
351,ST_IS_MITERED_TO_DT,0.08193217953107326
389,SPC_OFFSET,0.08185797456310222
195,Saddle R,0.08170497032344966
1054,nSSAUXCX3,0.08166626790868631
615,SEATSTAYSFILLET1,0.0814386443442798
981,RIM_SIDEWALL front,0.08120155218782055
2017,PhBlock typeDOWNTUBE OHCLASS: 32mm Sputnik,0.08118339790858067
1197,bottle SEATTUBE0 X,0.08093726285649926
2371,Saddle type OHCLASS: Specialized Romin,0.08063441525428773
205,nSSSIDECrad3,0.0802815857043056
1019,Stem length,0.08010150496608717
324,Headset spacers,0.07948968459072149
558,PEDAL_LENGTH,0.07945551412908776
2258,Wheel choice front OHCLASS: 700 X 23c,0.0793554214588635
2006,SPROCKETS type OHCLASS: 9-speed 11-25,0.07854366448048576
2022,DropoutParamOrStatic OHCLASS: 1,0.0784132570388529
1317,Dimension units OHCLASS: 0,0.07836989673579076
168,FRONTROTORE,0.07821006757700716
1154,Crank width at pedals,0.07814434618630149
1318,Dimension units OHCLASS: 1,0.07801520085211444
183,Saddle P,0.07727830157580051
735,Fender strut 3,0.07714671768125293
915,Seat tube extension2,0.07709755763906034
2356,Saddle type OHCLASS: Selle Italia Flight TT,0.07698910325107587
881,Cleat Y,0.07697933885004178
433,Front  fender thick,0.07687845009104298
1955,StaticDropout OHCLASS: Festka_Track,0.07682996730079104
2229,CSAUX1_MM_RATIO OHCLASS: 1,0.0767853812416668
616,SEATSTAYSFILLET0,0.07641466818092894
2226,Chain stay trad wish yoke OHCLASS: 1,0.07601356646290432
1345,Pump size OHCLASS: IMPEROLARGE,0.07591300484656391
2193,Wheel choice rear OHCLASS: 700 X 28c,0.0758625295029148
2312,Fork choice OHCLASS: Dual Crown Rigid Fork,0.0758310134612238
1152,HBARRAD1,0.07558897176968239
1034,REARBRAKEAX,0.07523737256942971
2376,Saddle type OHCLASS: fi'zi:k Antares,0.07512665111484636
314,REARROTORGP,0.07508789790234242
1285,HEADTUBEtype OHCLASS: 36mm,0.07504729244280664
373,Seatpost CONSTANT,0.0749559804573326
2044,dropoutInsert OHCLASS: DR4005_DR4013,0.07467982997727235
281,Down tube diameter,0.07448424805999913
2124,BRAKEMOUNT_TO OHCLASS: 1,0.07389261893468795
278,SSSIDECrad3,0.07388571021505705
2152,Pedals type OHCLASS: Egg Beaters,0.07381391867739351
908,Handlebar width,0.0735106938098881
812,CHAINSTAYSFILLET1,0.0734653515092833
2095,Cranks type OHCLASS: 172.5 52/42,0.07282688909413033
2092,Cranks type OHCLASS: 170 Shimano Road,0.07279659385642424
132,nCSSIDECX3,0.07154604096220583
1091,Top tube front diameter,0.07130026825886585
2331,Gearing analysis OHCLASS: 0,0.07124133586997973
516,FORK1R,0.07117099238591236
1985,SPROCKETS type OHCLASS: 10-speed 11-28,0.07104021912404011
2123,BRAKEMOUNT_TO OHCLASS: 0,0.07099508668764093
1271,Dropout model OHCLASS: DH Dropout,0.07094801237749675
867,Cargo include,0.07086136703781298
1229,"Headset type OHCLASS: Chris King 1-1/4""",0.07070311205222606
1156,REARbrakeBW,0.07054503694512088
2372,Saddle type OHCLASS: Specialized Toupe,0.07048976554827527
449,TOPTUBEFILLET3,0.06990286362678629
2131,Fork type OHCLASS: 2,0.06961688829433975
2327,Fork choice OHCLASS: Suspension Fork 80mm Travel,0.06944409288447402
2025,nSeat stay mount location OHCLASS: 2,0.06933982269744547
104,CSSIDEISBENT,0.06931808113457588
1279,"Dropout model OHCLASS: Paragon Wright 1 1/2"" x 1.04"" hooded dropout (6-4 Ti) with Short Cage insert",0.06927055442619624
914,nSEATSTAY_VF,0.06917190563489903
436,Seatpost CAPPED,0.06886601106529913
1005,Chain stay back diameter,0.06882974154642799
2014,SPROCKETS type OHCLASS: 9-speed 12-32,0.06866023022919286
2073,HORIZONTAL_TOP OHCLASS: 0,0.06823638923221292
829,BSD front,0.06793202758455207
1180,CassT,0.0678473025170277
961,SaddleYfromBB,0.06752412805965666
1984,SPROCKETS type OHCLASS: 10-speed 11-25,0.06727816657585584
